year,title,date,paper_links,author_links
2019,Few-Shot Learning by Exploiting Object Relation,9/27/18,['https://www.semanticscholar.org/paper/Few-Shot-Learning-by-Exploiting-Object-Relation-Long-Wang/8575d5a55dbc57cec06913d2a0977a43c6af2dec'],"['https://www.semanticscholar.org/author/Wei-Wang/40560485', 'https://www.semanticscholar.org/author/Liangqu-Long/41036511', 'https://www.semanticscholar.org/author/Qian-Lin/144002327', 'https://www.semanticscholar.org/author/Jun-Wen/145508581', 'https://www.semanticscholar.org/author/Meihui-Zhang/1793178']"
2019,CrystalGAN: Learning to Discover Crystallographic Structures with Generative Adversarial Networks,9/27/18,['https://www.semanticscholar.org/paper/CrystalGAN%3A-Learning-to-Discover-Crystallographic-Nouira-Crivello/1c966fb858142946f55d123b8adbd5e0d87a3a05'],"['https://www.semanticscholar.org/author/Asma-Nouira/39302422', 'https://www.semanticscholar.org/author/Nataliya-Sokolovska/2465086', 'https://www.semanticscholar.org/author/Jean-Claude-Crivello/91209277']"
2019,Exploration using Distributional RL and UCB,9/27/18,['https://www.semanticscholar.org/paper/Exploration-using-Distributional-RL-and-UCB-Mavrin-Yao/241e8964bb791564687797ab6612f3595bb7a3cf'],"['https://www.semanticscholar.org/author/ShangtongZhang/148172309', 'https://www.semanticscholar.org/author/Borislav-Mavrin/5377654', 'https://www.semanticscholar.org/author/Linglong-Kong/2515229', 'https://www.semanticscholar.org/author/Hengshuai-Yao/40609469']"
2019,The Body is not a Given: Joint Agent Policy Learning and Morphology Evolution,5/8/19,['https://www.semanticscholar.org/paper/The-Body-is-Not-a-Given%3A-Joint-Agent-Policy-and-Banarse-Bachrach/60207969bdffbffb2b69c37d7d25231867a8f356'],"['https://www.semanticscholar.org/author/Guy-Lever/3276293', 'https://www.semanticscholar.org/author/Yoram-Bachrach/1698412', 'https://www.semanticscholar.org/author/Pushmeet-Kohli/143967473', 'https://www.semanticscholar.org/author/Nicolas-Manfred-Otto-Heess/2801204', 'https://www.semanticscholar.org/author/Siqi-Liu/47130333', 'https://www.semanticscholar.org/author/Dylan-Banarse/2140573', 'https://www.semanticscholar.org/author/Thore-Graepel/1686971', 'https://www.semanticscholar.org/author/Chrisantha-Fernando/143939165']"
2019,From Adversarial Training to Generative Adversarial Networks,7/27/18,['https://www.semanticscholar.org/paper/From-Adversarial-Training-to-Generative-Adversarial-Liu-Hsieh/daf74b54c1987d0a374a2adfa7fbeb613f4e15d8'],"['https://www.semanticscholar.org/author/Cho-Jui-Hsieh/1793529', 'https://www.semanticscholar.org/author/Xuanqing-Liu/23979212']"
2019,An Efficient Network for Predicting Time-Varying Distributions,9/27/18,['https://www.semanticscholar.org/paper/An-Efficient-Network-for-Predicting-Time-Varying-Kou-Lee/d3e8ea44ab5edb0a6894a414411c3de8954aab7b'],"['https://www.semanticscholar.org/author/Hwee-Kuan-Lee/3149920', 'https://www.semanticscholar.org/author/Teck-Khim-Ng/3082766', 'https://www.semanticscholar.org/author/Jorge-Sanz/145905622', 'https://www.semanticscholar.org/author/Connie-Kou/144487317']"
2019,Quantile Regression Reinforcement Learning with State Aligned Vector Rewards,9/27/18,['https://www.semanticscholar.org/paper/Quantile-Regression-Reinforcement-Learning-with-Richter-Wattenhofer/79803aa48e5847a3c3460753264b580be444432f'],"['https://www.semanticscholar.org/author/Oliver-Richter/143944934', 'https://www.semanticscholar.org/author/Roger-Wattenhofer/1716440']"
2019,Fatty and Skinny: A Joint Training Method of Watermark Encoder and Decoder,9/27/18,['https://www.semanticscholar.org/paper/Fatty-and-Skinny%3A-A-Joint-Training-Method-of-and-Hong-Mohammadi/51d7cca6319eeab85f449d01236f395b6994380e'],"['https://www.semanticscholar.org/author/Noseong-Park/48651988', 'https://www.semanticscholar.org/author/Sanghyun-Hong/2089089', 'https://www.semanticscholar.org/author/Mahmoud-Mohammadi/48794484']"
2019,Transfer Learning via Unsupervised Task Discovery for Visual Question Answering,10/3/18,['https://www.semanticscholar.org/paper/Transfer-Learning-via-Unsupervised-Task-Discovery-Noh-Kim/b80f128830114896df94999b4104cb75408e657e'],"['https://www.semanticscholar.org/author/Hyeonwoo-Noh/2018393', 'https://www.semanticscholar.org/author/Taehoon-Kim/1837923', 'https://www.semanticscholar.org/author/Bohyung-Han/40030651', 'https://www.semanticscholar.org/author/Jonghwan-Mun/8511875']"
2019,Confidence Calibration in Deep Neural Networks through Stochastic Inferences,9/27/18,['https://www.semanticscholar.org/paper/Learning-for-Single-Shot-Confidence-Calibration-in-Seo-Seo/ebd6264650306e6fb3b7ae9ab60fef1c77d2f013'],"['https://www.semanticscholar.org/author/Seonguk-Seo/51444310', 'https://www.semanticscholar.org/author/Bohyung-Han/40030651', 'https://www.semanticscholar.org/author/Paul-Hongsuck-Seo/14454974']"
2019,Noise-Tempered Generative Adversarial Networks,9/27/18,['https://www.semanticscholar.org/paper/Noise-Tempered-Generative-Adversarial-Networks-Jenni-Favaro/b1b6065fb735c21cb7a4235db3571158256b5956'],"['https://www.semanticscholar.org/author/Paolo-Favaro/145646305', 'https://www.semanticscholar.org/author/Simon-Jenni/5641221']"
2019,SpaMHMM: Sparse Mixture of Hidden Markov Models for Graph Connected Entities,3/31/19,['https://www.semanticscholar.org/paper/SpaMHMM%3A-Sparse-Mixture-of-Hidden-Markov-Models-for-Pernes-Cardoso/6e3eeabefec3faa596dafd613de1c4cdd207fefe'],"['https://www.semanticscholar.org/author/Jaime-S.-Cardoso/3698192', 'https://www.semanticscholar.org/author/Diogo-Pernes/2022615']"
2019,Self-Binarizing Networks,2/2/19,['https://www.semanticscholar.org/paper/Self-Binarizing-Networks-Lahoud-Achanta/9f23a70efd290c18f04dfaa9210577f65c8fcf60'],"['https://www.semanticscholar.org/author/Sabine-S%C3%BCsstrunk/1735035', 'https://www.semanticscholar.org/author/Radhakrishna-Achanta/2118589', 'https://www.semanticscholar.org/author/Fayez-Lahoud/7683668', 'https://www.semanticscholar.org/author/Pablo-M%C3%A1rquez-Neila/1387989563']"
