authors_links,authors_citations,authors_publications,authors_h-index,authors_highly_influenced_papers
"['https://www.semanticscholar.org/author/Minjoon-Seo/4418074', 'https://www.semanticscholar.org/author/Sewon-Min/48872685', 'https://www.semanticscholar.org/author/Ali-Farhadi/143787583', 'https://www.semanticscholar.org/author/Hannaneh-Hajishirzi/2548384']",1735;392;16428;2890,20;12;119;97,14;10;43;25,412;82;2809;602
"['https://www.semanticscholar.org/author/Shengjie-Wang/4519720', 'https://www.semanticscholar.org/author/Haoran-Cai/3413049', 'https://www.semanticscholar.org/author/Jeff-A.-Bilmes/1748118', 'https://www.semanticscholar.org/author/William-Stafford-Noble/144458655']",944;135;13766;34535,63;23;350;402,15;5;55;75,53;4;1279;3105
"['https://www.semanticscholar.org/author/Gregor-Urban/49516308', 'https://www.semanticscholar.org/author/Krzysztof-J-Geras/2376144', 'https://www.semanticscholar.org/author/Samira-Ebrahimi-Kahou/3127597', 'https://www.semanticscholar.org/author/Ozlem-Aslan/50304769', 'https://www.semanticscholar.org/author/Shengjie-Wang/4519720', 'https://www.semanticscholar.org/author/Abdel-rahman-Mohamed/40360972', 'https://www.semanticscholar.org/author/Matthai-Philipose/3041721', 'https://www.semanticscholar.org/author/Matthew-Richardson/144422314', 'https://www.semanticscholar.org/author/Rich-Caruana/145727186']",811;540;3852;145;944;20068;5643;10332;16973,24;35;70;21;63;68;117;109;148,12;12;14;8;15;27;34;30;48,37;48;380;4;53;1235;413;1279;1358
"['https://www.semanticscholar.org/author/Hanjun-Dai/2791430', 'https://www.semanticscholar.org/author/Bo-Dai/144445940', 'https://www.semanticscholar.org/author/Yan-Ming-Zhang/15310310', 'https://www.semanticscholar.org/author/Shuang-Li/144014817', 'https://www.semanticscholar.org/author/Le-Song/1779453']",1894;3872;563;391;9670,58;397;56;75;329,17;30;11;9;54,284;280;38;38;1120
"['https://www.semanticscholar.org/author/Greg-Yang/35064203', 'https://www.semanticscholar.org/author/Alexander-M.-Rush/2531268']",505;7010,24;87,10;32,53;940
"['https://www.semanticscholar.org/author/Ivan-Ustyuzhaninov/3422289', 'https://www.semanticscholar.org/author/Wieland-Brendel/40634590', 'https://www.semanticscholar.org/author/Leon-A.-Gatys/1891828', 'https://www.semanticscholar.org/author/Matthias-Bethge/1731199']",81;1768;4095;11475,13;40;35;416,5;17;13;47,9;217;566;1264
"['https://www.semanticscholar.org/author/Mikael-Henaff/39713408', 'https://www.semanticscholar.org/author/Jason-Weston/145183709', 'https://www.semanticscholar.org/author/Arthur-Szlam/3149531', 'https://www.semanticscholar.org/author/Antoine-Bordes/1713934', 'https://www.semanticscholar.org/author/Yann-LeCun/1688882']",2377;45098;8769;16045;92622,23;243;86;77;345,13;78;32;32;107,201;5838;923;2359;10396
"['https://www.semanticscholar.org/author/Yuxin-Wu/98264506', 'https://www.semanticscholar.org/author/Yuandong-Tian/39402399']",2102;2473,13;85,10;25,329;283
"['https://www.semanticscholar.org/author/Timothy-Dozat/2277385', 'https://www.semanticscholar.org/author/Christopher-D.-Manning/144783904']",1776;89690,18;481,11;115,226;11683
"['https://www.semanticscholar.org/author/Aaron-Klein/145227684', 'https://www.semanticscholar.org/author/Stefan-Falkner/2154062', 'https://www.semanticscholar.org/author/Jost-Tobias-Springenberg/2060551', 'https://www.semanticscholar.org/author/Frank-Hutter/144661829']",1733;785;7361;12786,48;32;54;233,15;11;28;50,222;79;787;1536
"['https://www.semanticscholar.org/author/Samuel-S.-Schoenholz/2601641', 'https://www.semanticscholar.org/author/Justin-Gilmer/2058362', 'https://www.semanticscholar.org/author/Surya-Ganguli/25769960', 'https://www.semanticscholar.org/author/Jascha-Sohl-Dickstein/1407546430']",3086;3389;6029;5018,70;45;129;101,21;18;39;33,383;464;603;703
"['https://www.semanticscholar.org/author/Hao-Li/1706574', 'https://www.semanticscholar.org/author/Asim-Kadav/2293919', 'https://www.semanticscholar.org/author/Igor-Durdanovic/1844230', 'https://www.semanticscholar.org/author/Hanan-Samet/1719385', 'https://www.semanticscholar.org/author/Hans-Peter-Graf/1775043']",7681;1770;1727;17408;3569,540;40;19;440;113,40;16;10;61;26,694;295;306;1264;423
"['https://www.semanticscholar.org/author/Ilya-Loshchilov/1678656', 'https://www.semanticscholar.org/author/Frank-Hutter/144661829']",2594;12786,38;233,21;50,358;1536
"['https://www.semanticscholar.org/author/Pavol-Bielik/1689140', 'https://www.semanticscholar.org/author/Veselin-Raychev/1967472', 'https://www.semanticscholar.org/author/Martin-T.-Vechev/1736447']",513;1415;4221,26;29;153,11;15;36,56;159;466
"['https://www.semanticscholar.org/author/Abhishek-Gupta/144150283', 'https://www.semanticscholar.org/author/Coline-Devin/144373380', 'https://www.semanticscholar.org/author/Yuxuan-Liu/49421394', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992', 'https://www.semanticscholar.org/author/Sergey-Levine/1736651']",1683;598;544;36938;24658,204;18;62;433;310,18;10;10;94;73,169;27;33;4451;3204
"['https://www.semanticscholar.org/author/Yuhuai-Wu/3374063', 'https://www.semanticscholar.org/author/Yuri-Burda/3080409', 'https://www.semanticscholar.org/author/Ruslan-Salakhutdinov/145124475', 'https://www.semanticscholar.org/author/Roger-B.-Grosse/1785346']",1180;1331;67952;5727,28;21;254;48,13;8;82;28,184;281;7814;813
['https://www.semanticscholar.org/author/Nicolas-Le-Roux/7245737'],4950,172,24,536
"['https://www.semanticscholar.org/author/C.-Daniel-Freeman/2800357', 'https://www.semanticscholar.org/author/Joan-Bruna/143627859']",163;11495,13;90,6;29,11;1285
"['https://www.semanticscholar.org/author/James-Bradbury/40518045', 'https://www.semanticscholar.org/author/Stephen-Merity/3375440', 'https://www.semanticscholar.org/author/Caiming-Xiong/2228109', 'https://www.semanticscholar.org/author/Richard-Socher/2166511']",1311;1852;6299;52991,14;18;156;180,7;8;31;49,232;363;1059;8889
"['https://www.semanticscholar.org/author/Stephen-Merity/3375440', 'https://www.semanticscholar.org/author/Caiming-Xiong/2228109', 'https://www.semanticscholar.org/author/James-Bradbury/40518045', 'https://www.semanticscholar.org/author/Richard-Socher/2166511']",1863;6299;1311;52991,18;156;14;180,8;31;7;49,364;1059;232;8889
"['https://www.semanticscholar.org/author/Florian-Bordes/34651419', 'https://www.semanticscholar.org/author/Sina-Honari/25056820', 'https://www.semanticscholar.org/author/Pascal-Vincent/145467703']",30;1973;15646,5;24;118,2;8;33,1;157;1337
"['https://www.semanticscholar.org/author/Aravind-Rajeswaran/19275599', 'https://www.semanticscholar.org/author/Sarvjeet-Ghotra/7686370', 'https://www.semanticscholar.org/author/Balaraman-Ravindran/1723632', 'https://www.semanticscholar.org/author/Sergey-Levine/152198491']",891;152;2503;959,24;3;234;34,13;2;28;9,85;22;202;103
"['https://www.semanticscholar.org/author/Taco-Cohen/2056266', 'https://www.semanticscholar.org/author/Max-Welling/1678311']",1716;27393,32;271,17;60,251;5190
